formula,temperature_k,source_reference,temperature_band,is_feasible,absS_uV_per_K,electrical_conductivity_S_per_m,log10_sigma,thermal_conductivity_W_per_mK,power_factor_W_per_mK2,ZT,feat_mean_atomic_number,feat_mean_atomic_volume,feat_mean_atomic_weight,feat_std_atomic_number,feat_std_atomic_volume,feat_std_atomic_weight,feat_max_atomic_number,feat_max_atomic_volume,feat_max_atomic_weight,feat_min_atomic_number,feat_min_atomic_volume,feat_min_atomic_weight,feat_temperature_norm,obj_absS_scaled,obj_log10_sigma_scaled,obj_neg_kappa_scaled,con_zt_slack,con_pf_slack
Ag0.97Cr0.99Bi0.01Se2,503.0,https://doi.org/10.1021/acsami.0c09355,mid,0,111.86,12368.0,4.09229947657425,0.4531,0.0001547565739328,0.17179994855042685,34.806045340050375,12.650098961340596,79.6322662468514,22.327113561766108,5.451304858699092,59.40042954387515,83.0,21.346312563840655,208.9804,24.0,7.272181818181817,51.9961,0.6766666666666643,0.10544036522731585,0.7877108896687206,0.9943437177026281,0.6282000514495731,0.0010452434260672
Ag0.97Cr0.99Sb0.01Se2,303.0,https://doi.org/10.1021/acsami.0c09355,mid,0,78.6,30323.0,4.481772165924176,0.5862,0.00018733428107999998,0.09683092317850561,34.72544080604534,12.642243123422055,79.41256750629724,10.700467279516348,4.451628846339069,26.897104081701343,51.0,18.227544910179642,121.76,24.0,7.272181818181817,51.9961,0.009999999999999966,0.07380635343351714,0.8288193198198862,0.9923785619370884,0.7031690768214944,0.00101266571892
Ag0.97Cr0.99Sb0.01Se2,403.0,https://doi.org/10.1021/acsami.0c09355,mid,0,88.98,19184.0,4.282939165754773,0.5243,0.0001518881766336,0.11674792138726071,34.72544080604534,12.642243123422055,79.41256750629724,10.700467279516348,4.451628846339069,26.897104081701343,51.0,18.227544910179642,121.76,24.0,7.272181818181817,51.9961,0.34333333333333216,0.08367890431805204,0.8078327070926795,0.9932924848663666,0.6832520786127393,0.0010481118233663998
Ag0.97Cr0.99Sb0.01Se2,503.0,https://doi.org/10.1021/acsami.0c09355,mid,0,111.23,15016.0,4.17655425961329,0.5071,0.0001857796473064,0.18427758350447485,34.72544080604534,12.642243123422055,79.41256750629724,10.700467279516348,4.451628846339069,26.897104081701343,51.0,18.227544910179642,121.76,24.0,7.272181818181817,51.9961,0.6766666666666643,0.10484116416206953,0.7966038928449974,0.9935464343717556,0.6157224164955252,0.0010142203526936
Ag0.97CrSe2,303.0,https://doi.org/10.1021/acsami.0c09355,mid,0,85.49,26857.0,4.429057499166248,0.4979,0.00019628546146569997,0.11945068251477624,34.657430730478595,12.614647750394353,79.23683979848867,9.41629792788369,3.808149264102694,22.81418894815729,47.0,16.421501351632354,107.8682,24.0,7.272181818181817,51.9961,0.009999999999999966,0.08035952063914772,0.8232553425356836,0.9936822678281264,0.6805493174852238,0.0010037145385343
Ag0.97CrSe2,403.0,https://doi.org/10.1021/acsami.0c09355,mid,0,96.61,21364.0,4.329682569297099,0.436,0.00019940072522439998,0.18430846849869997,34.657430730478595,12.614647750394353,79.23683979848867,9.41629792788369,3.808149264102694,22.81418894815729,47.0,16.421501351632354,107.8682,24.0,7.272181818181817,51.9961,0.34333333333333216,0.09093589499714658,0.8127664238643348,0.9945961907574044,0.6156915315013001,0.0010005992747755999
Ag0.97CrSe2,503.0,https://doi.org/10.1021/acsami.0c09355,mid,0,118.43,14157.0,4.150971232062612,0.4146,0.0001985613379893,0.24089810180563892,34.657430730478595,12.614647750394353,79.23683979848867,9.41629792788369,3.808149264102694,22.81418894815729,47.0,16.421501351632354,107.8682,24.0,7.272181818181817,51.9961,0.6766666666666643,0.11168917633631338,0.7939036313635628,0.9949121511885282,0.5591018981943612,0.0010014386620106998
Ag0.97CuSe,391.0,https://doi.org/10.1021/ic502102e,mid,0,30.57,59903.0,4.777448572820369,2.1163,5.59808450847e-05,0.010342820218361151,36.562289562289564,11.272274713552662,83.21520336700337,7.586537784494028,3.872363232789692,18.370980151919554,47.0,16.421501351632354,107.8682,29.0,7.0921875,63.546,0.3033333333333323,0.028124405554498737,0.8600276516300766,0.969787391111753,0.7896571797816389,0.0011440191549152998
Ag0.97CuSe,468.0,https://doi.org/10.1021/ic502102e,mid,0,89.17,43509.0,4.6385791016914135,1.67,0.0003459526287501,0.07,36.562289562289564,11.272274713552662,83.21520336700337,7.586537784494028,3.872363232789692,18.370980151919554,47.0,16.421501351632354,107.8682,29.0,7.0921875,63.546,0.559999999999998,0.08385961575042793,0.8453701259289488,0.9763767901963535,0.73,0.0008540473712498999
Ag0.97CuSe,479.0,https://doi.org/10.1021/ic502102e,mid,0,190.44,14569.0,4.163429743301472,0.632,0.0005283796573584,0.4004649618270151,36.562289562289564,11.272274713552662,83.21520336700337,7.586537784494028,3.872363232789692,18.370980151919554,47.0,16.421501351632354,107.8682,29.0,7.0921875,63.546,0.5966666666666647,0.18017880920677176,0.7952186140389976,0.9917023475564595,0.39953503817298497,0.0006716203426415999
